Año,Variable,Rama,Valor,% del total de la economía,Unidad,A precios,Medición
2008,Valor agregado bruto,Minería,3752.338821,0.7%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2009,Valor agregado bruto,Minería,4445.114585,0.9%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2010,Valor agregado bruto,Minería,4973.979375,0.9%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2011,Valor agregado bruto,Minería,4666.69406,0.8%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2012,Valor agregado bruto,Minería,4732.637398,0.8%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2013,Valor agregado bruto,Minería,4116.242743,0.7%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2014,Valor agregado bruto,Minería,4475.218001,0.8%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2015,Valor agregado bruto,Minería,4707.297104,0.8%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2016,Valor agregado bruto,Minería,4396.307196,0.7%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2017,Valor agregado bruto,Minería,4448.440586,0.7%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2018,Valor agregado bruto,Minería,4186.977883,0.7%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2019,Valor agregado bruto,Minería,3811.377167,0.7%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2020,Valor agregado bruto,Minería,3550.504631,0.7%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2021,Valor agregado bruto,Minería,3949.724938,0.7%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2022,Valor agregado bruto,Minería,4312.362717,0.7%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2023,Valor agregado bruto,Minería,4528.644381,0.8%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2024,Valor agregado bruto,Minería,4482.744736,0.8%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2025,Valor agregado bruto,Minería,4707.81045,0.8%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2004,Valor agregado bruto,Minería,2967.283148,0.7%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2005,Valor agregado bruto,Minería,4166.833535,0.8%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2006,Valor agregado bruto,Minería,7814.861432,1.3%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2007,Valor agregado bruto,Minería,7856.571523,1.0%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2008,Valor agregado bruto,Minería,8208.127275,0.9%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2009,Valor agregado bruto,Minería,10444.13815,1.0%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2010,Valor agregado bruto,Minería,16320.38048,1.2%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2011,Valor agregado bruto,Minería,20438.27319,1.1%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2012,Valor agregado bruto,Minería,22954.3818,1.0%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2013,Valor agregado bruto,Minería,23074.72583,0.8%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2014,Valor agregado bruto,Minería,32624.93019,0.8%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2015,Valor agregado bruto,Minería,37890.01622,0.8%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2016,Valor agregado bruto,Minería,51044.39786,0.7%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2017,Valor agregado bruto,Minería,65501.30812,0.7%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2018,Valor agregado bruto,Minería,92923.76649,0.7%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2019,Valor agregado bruto,Minería,169437.7565,0.9%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2020,Valor agregado bruto,Minería,204040.6853,0.9%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2021,Valor agregado bruto,Minería,385291.4541,1.0%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2022,Valor agregado bruto,Minería,662152.4968,0.9%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2023,Valor agregado bruto,Minería,1770270.742,1.1%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2024,Valor agregado bruto,Minería,5518677.667,1.1%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2025,Valor agregado bruto,Minería,8750931.895,1.2%,Millones de pesos corrientes,Corrientes,En pesos corrientes
